feature,coefficient,importance,direction,importance_rank
TotalGold_P8,-0.49934448457449265,0.49934448457449265,Red-favored,1
TotalGold_P1,0.45895511802750505,0.45895511802750505,Blue-favored,2
TotalGold_P4,0.40756400782423496,0.40756400782423496,Blue-favored,3
TotalGold_P6,-0.35135673441614623,0.35135673441614623,Red-favored,4
TotalGold_P3,0.3398590432772448,0.3398590432772448,Blue-favored,5
TotalGold_P9,-0.314973044966795,0.314973044966795,Red-favored,6
MinionsKilled_P7,-0.24151397645063943,0.24151397645063943,Red-favored,7
TotalGold_P7,-0.2259059583668028,0.2259059583668028,Red-favored,8
TotalGold_P5,0.22120222698745975,0.22120222698745975,Blue-favored,9
TotalGold_P10,-0.22058373435084142,0.22058373435084142,Red-favored,10
TotalGold_P2,0.21467757812194546,0.21467757812194546,Blue-favored,11
MinionsKilled_P2,0.19633555396425012,0.19633555396425012,Blue-favored,12
MinionsKilled_P9,-0.18967257558616155,0.18967257558616155,Red-favored,13
MinionsKilled_P4,0.16486871086804952,0.16486871086804952,Blue-favored,14
BlueDragonKills,0.1493377254178109,0.1493377254178109,Blue-favored,15
RedDragonKills,-0.14414509642159964,0.14414509642159964,Red-favored,16
PrimaryKeyStone_P5,-0.13463469723792607,0.13463469723792607,Red-favored,17
PrimaryKeyStone_P9,-0.13106232086401706,0.13106232086401706,Red-favored,18
MinionsKilled_P3,0.12203307191119124,0.12203307191119124,Blue-favored,19
kills_P7,-0.1217623665517786,0.1217623665517786,Red-favored,20
PrimaryKeyStone_P10,0.1125655169196954,0.1125655169196954,Blue-favored,21
MinionsKilled_P6,-0.10823687737376196,0.10823687737376196,Red-favored,22
DmgDealt_P9,-0.10542590585655756,0.10542590585655756,Red-favored,23
SummonerSpell2_P9,0.0960477000362501,0.0960477000362501,Blue-favored,24
SummonerSpell1_P10,0.09174721388030849,0.09174721388030849,Blue-favored,25
DmgDealt_P4,0.08996217695662409,0.08996217695662409,Blue-favored,26
kills_P2,0.08816903427642428,0.08816903427642428,Blue-favored,27
SummonerSpell2_P10,0.08173829557118512,0.08173829557118512,Blue-favored,28
SummonerSpell2_P8,0.08053153882515125,0.08053153882515125,Blue-favored,29
DmgDealt_P8,-0.07775186740584111,0.07775186740584111,Red-favored,30
DmgDealt_P2,0.07711536213526496,0.07711536213526496,Blue-favored,31
SummonerSpell1_P3,0.07498474228092783,0.07498474228092783,Blue-favored,32
SummonerSpell1_P7,0.07294040485299437,0.07294040485299437,Blue-favored,33
SummonerSpell1_P6,0.06864081968271606,0.06864081968271606,Blue-favored,34
SummonerSpell2_P7,0.06798849109172349,0.06798849109172349,Blue-favored,35
DmgDealt_P7,-0.06703159674554098,0.06703159674554098,Red-favored,36
MinionsKilled_P1,0.06547929530010792,0.06547929530010792,Blue-favored,37
SummonerSpell1_P8,0.06520390729815333,0.06520390729815333,Blue-favored,38
SummonerSpell1_P2,0.06497809211408091,0.06497809211408091,Blue-favored,39
PrimaryKeyStone_P8,-0.06451290830584121,0.06451290830584121,Red-favored,40
SummonerSpell2_P4,0.06378671307774678,0.06378671307774678,Blue-favored,41
SummonerSpell2_P2,0.06293971305224463,0.06293971305224463,Blue-favored,42
