feature,coefficient,importance,direction,feature_group,rank
Diff_TotalGold,0.37230685088094406,0.37230685088094406,Blue-favored,aggregate_difference,1
Diff_DmgDealt,0.21709973465143037,0.21709973465143037,Blue-favored,aggregate_difference,2
Diff_MinionsKilled,0.1997941817569469,0.1997941817569469,Blue-favored,aggregate_difference,3
TotalGold_P1,0.18958386367094482,0.18958386367094482,Blue-favored,player_level_stats,4
TotalGold_P8,-0.1588517832296534,0.1588517832296534,Red-favored,player_level_stats,5
MinionsKilled_P7,-0.13898946767542916,0.13898946767542916,Red-favored,player_level_stats,6
MinionsKilled_P2,0.1367282460774407,0.1367282460774407,Blue-favored,player_level_stats,7
TotalGold_P4,0.1247446698815369,0.1247446698815369,Blue-favored,player_level_stats,8
BlueChamp_81,-0.1212748625590823,0.1212748625590823,Red-favored,champion_composition,9
RedChamp_81,0.11322096996009275,0.11322096996009275,Blue-favored,champion_composition,10
RedChamp_51,0.1121079957761281,0.1121079957761281,Blue-favored,champion_composition,11
Diff_DragonKills,0.10744707671786549,0.10744707671786549,Blue-favored,aggregate_difference,12
RedChamp_75,-0.10702622363569657,0.10702622363569657,Red-favored,champion_composition,13
MinionsKilled_P9,-0.10498401619371586,0.10498401619371586,Red-favored,player_level_stats,14
RedDragonKills,-0.10424125125484518,0.10424125125484518,Red-favored,objective_counts,15
SummonerSpell2_P8_11,0.10108248067196483,0.10108248067196483,Blue-favored,setup_runes_spells,16
BlueDragonKills,0.09498140706357885,0.09498140706357885,Blue-favored,objective_counts,17
TotalGold_P7,-0.09437325364429779,0.09437325364429779,Red-favored,player_level_stats,18
BlueChamp_10,0.09347968089024362,0.09347968089024362,Blue-favored,champion_composition,19
BlueChamp_51,-0.09247306680629985,0.09247306680629985,Red-favored,champion_composition,20
DmgDealt_P5,0.084764241994246,0.084764241994246,Blue-favored,player_level_stats,21
RedChamp_10,-0.08447717677993329,0.08447717677993329,Red-favored,champion_composition,22
DmgTaken_P1,0.08365675074179506,0.08365675074179506,Blue-favored,player_level_stats,23
Red_TotalGold_avg,-0.08151819681865595,0.08151819681865595,Red-favored,team_aggregate,24
Red_TotalGold_sum,-0.08151819681865564,0.08151819681865564,Red-favored,team_aggregate,25
MinionsKilled_P4,0.08127967935729945,0.08127967935729945,Blue-favored,player_level_stats,26
Blue_TotalGold_avg,0.08049425864793791,0.08049425864793791,Blue-favored,team_aggregate,27
Blue_TotalGold_sum,0.08049425864793786,0.08049425864793786,Blue-favored,team_aggregate,28
kills_P2,0.07755138480243982,0.07755138480243982,Blue-favored,player_level_stats,29
BlueChamp_119,-0.07731527589849259,0.07731527589849259,Red-favored,champion_composition,30
RedChamp_136,-0.07713488642021346,0.07713488642021346,Red-favored,champion_composition,31
BlueChamp_75,0.07653139703050325,0.07653139703050325,Blue-favored,champion_composition,32
Red_DmgDealt_sum,-0.07534694766702155,0.07534694766702155,Red-favored,team_aggregate,33
Red_DmgDealt_avg,-0.07534694766702131,0.07534694766702131,Red-favored,team_aggregate,34
DmgDealt_P9,-0.07522603773579398,0.07522603773579398,Red-favored,player_level_stats,35
BlueChamp_800,-0.07504192203086447,0.07504192203086447,Red-favored,champion_composition,36
DmgDealt_P10,-0.07474379324003207,0.07474379324003207,Red-favored,player_level_stats,37
DmgDealt_P4,0.07361767649677446,0.07361767649677446,Blue-favored,player_level_stats,38
MinionsKilled_P10,0.07313939741823934,0.07313939741823934,Blue-favored,player_level_stats,39
MinionsKilled_P5,-0.07073625036722517,0.07073625036722517,Red-favored,player_level_stats,40
BlueChamp_236,-0.06921651960583926,0.06921651960583926,Red-favored,champion_composition,41
BlueChamp_136,0.06839954044435484,0.06839954044435484,Blue-favored,champion_composition,42
RedChamp_36,-0.06719767394382044,0.06719767394382044,Red-favored,champion_composition,43
SummonerSpell1_P5_4,-0.0657651058081762,0.0657651058081762,Red-favored,setup_runes_spells,44
Blue_DmgDealt_avg,0.06509578546586102,0.06509578546586102,Blue-favored,team_aggregate,45
Blue_DmgDealt_sum,0.06509578546586099,0.06509578546586099,Blue-favored,team_aggregate,46
Red_MinionsKilled_avg,-0.06385805879285143,0.06385805879285143,Red-favored,team_aggregate,47
Red_MinionsKilled_sum,-0.063858058792851,0.063858058792851,Red-favored,team_aggregate,48
Blue_MinionsKilled_sum,0.06348876340860904,0.06348876340860904,Blue-favored,team_aggregate,49
Blue_MinionsKilled_avg,0.06348876340860828,0.06348876340860828,Blue-favored,team_aggregate,50
Blue_GoldStd,0.06192450641965652,0.06192450641965652,Blue-favored,team_aggregate,51
RedChamp_236,0.06169943084279658,0.06169943084279658,Blue-favored,champion_composition,52
RedChamp_800,0.05972919295124093,0.05972919295124093,Blue-favored,champion_composition,53
RedChamp_110,0.05893851240790574,0.05893851240790574,Blue-favored,champion_composition,54
BlueChamp_120,-0.058449139868114695,0.058449139868114695,Red-favored,champion_composition,55
