row_index,actual,linear_pred,linear_prob_blue,tree_pred,tree_prob_blue,linear_correct,tree_correct,linear_margin,tree_margin,prob_gap_tree_minus_linear,abs_prob_gap,case_bucket
78278,1,0,0.4889725264689714,1,0.5854217343983926,False,True,0.01102747353102862,0.08542173439839262,0.09644920792942124,0.09644920792942124,linear_wrong_tree_correct
43876,0,1,0.5851607293848681,0,0.4674597593756462,False,True,0.08516072938486807,0.03254024062435379,-0.11770097000922186,0.11770097000922186,linear_wrong_tree_correct
61927,0,1,0.5308025900302353,0,0.3960771192214262,False,True,0.030802590030235333,0.10392288077857381,-0.13472547080880914,0.13472547080880914,linear_wrong_tree_correct
2020,0,1,0.6454552907296296,0,0.45498480651129763,False,True,0.1454552907296296,0.045015193488702365,-0.19047048421833196,0.19047048421833196,linear_wrong_tree_correct
55751,0,1,0.5167014002087956,0,0.4266439203980023,False,True,0.016701400208795625,0.07335607960199769,-0.09005747981079332,0.09005747981079332,linear_wrong_tree_correct
35701,0,1,0.5857339665096177,0,0.44567916090768556,False,True,0.08573396650961773,0.054320839092314444,-0.14005480560193218,0.14005480560193218,linear_wrong_tree_correct
63180,0,1,0.5120407884796507,0,0.398507455286319,False,True,0.012040788479650733,0.10149254471368102,-0.11353333319333175,0.11353333319333175,linear_wrong_tree_correct
75820,0,1,0.5069558782499423,0,0.4397633850042252,False,True,0.00695587824994226,0.06023661499577482,-0.06719249324571708,0.06719249324571708,linear_wrong_tree_correct
31593,1,0,0.3285235655119684,1,0.5359379439991018,False,True,0.17147643448803163,0.035937943999101774,0.2074143784871334,0.2074143784871334,linear_wrong_tree_correct
44019,1,0,0.49665907949115806,1,0.5791236258761978,False,True,0.003340920508841938,0.07912362587619781,0.08246454638503975,0.08246454638503975,linear_wrong_tree_correct
52119,1,0,0.48248064017245557,1,0.6455385553420252,False,True,0.017519359827544434,0.1455385553420252,0.16305791516956963,0.16305791516956963,linear_wrong_tree_correct
42661,1,0,0.47946828598098273,1,0.5272418861487972,False,True,0.020531714019017266,0.02724188614879719,0.047773600167814456,0.047773600167814456,linear_wrong_tree_correct
71862,0,1,0.5191109986097598,0,0.35049763156676694,False,True,0.019110998609759844,0.14950236843323306,-0.1686133670429929,0.1686133670429929,linear_wrong_tree_correct
76324,1,0,0.4196239688215198,1,0.5363916677461088,False,True,0.08037603117848019,0.0363916677461088,0.11676769892458899,0.11676769892458899,linear_wrong_tree_correct
56427,1,0,0.38345998653164354,1,0.5080402696958636,False,True,0.11654001346835646,0.008040269695863578,0.12458028316422004,0.12458028316422004,linear_wrong_tree_correct
54629,0,1,0.5605367657006208,0,0.44563447757678354,False,True,0.06053676570062083,0.05436552242321646,-0.11490228812383729,0.11490228812383729,linear_wrong_tree_correct
28998,0,1,0.5501285519095415,0,0.4692481510669849,False,True,0.05012855190954146,0.03075184893301508,-0.08088040084255654,0.08088040084255654,linear_wrong_tree_correct
35568,1,0,0.4992912325747193,1,0.5383817935227039,False,True,0.0007087674252806986,0.03838179352270388,0.039090560947984576,0.039090560947984576,linear_wrong_tree_correct
9608,1,0,0.4692367375264753,1,0.5401221919957022,False,True,0.030763262473524677,0.04012219199570222,0.0708854544692269,0.0708854544692269,linear_wrong_tree_correct
71856,0,1,0.5275792902412305,0,0.4555571555378931,False,True,0.027579290241230514,0.04444284446210689,-0.0720221347033374,0.0720221347033374,linear_wrong_tree_correct
22588,1,0,0.4676443400190534,1,0.5266863104431179,False,True,0.03235565998094658,0.026686310443117867,0.05904197042406445,0.05904197042406445,linear_wrong_tree_correct
78779,0,1,0.5287831146178501,0,0.4524269560938011,False,True,0.028783114617850103,0.047573043906198875,-0.07635615852404898,0.07635615852404898,linear_wrong_tree_correct
13109,1,0,0.47682086826792297,1,0.5546135431076462,False,True,0.02317913173207703,0.05461354310764621,0.07779267483972324,0.07779267483972324,linear_wrong_tree_correct
78949,1,0,0.48697808449559965,1,0.5212150223817027,False,True,0.01302191550440035,0.021215022381702697,0.03423693788610305,0.03423693788610305,linear_wrong_tree_correct
20878,0,1,0.7055133343446938,0,0.4727104068733792,False,True,0.20551333434469377,0.027289593126620826,-0.2328029274713146,0.2328029274713146,linear_wrong_tree_correct
12518,1,0,0.4615495781695093,1,0.5067391921101018,False,True,0.03845042183049069,0.006739192110101766,0.045189613940592455,0.045189613940592455,linear_wrong_tree_correct
84659,0,1,0.5625305360779149,0,0.4995887692884418,False,True,0.06253053607791492,0.0004112307115581859,-0.06294176678947311,0.06294176678947311,linear_wrong_tree_correct
9507,1,0,0.3964074002148895,1,0.6135034082133322,False,True,0.10359259978511048,0.11350340821333216,0.21709600799844264,0.21709600799844264,linear_wrong_tree_correct
51157,1,0,0.46487214047829856,1,0.511101526026106,False,True,0.03512785952170144,0.011101526026106034,0.04622938554780748,0.04622938554780748,linear_wrong_tree_correct
74586,1,0,0.47816349762676014,1,0.5604611259154719,False,True,0.021836502373239863,0.060461125915471925,0.08229762828871179,0.08229762828871179,linear_wrong_tree_correct
49038,1,0,0.33080965300257054,1,0.5052613535169076,False,True,0.16919034699742946,0.0052613535169075965,0.17445170051433706,0.17445170051433706,linear_wrong_tree_correct
75610,0,1,0.6254136687350677,0,0.45442771022662687,False,True,0.12541366873506765,0.04557228977337313,-0.17098595850844078,0.17098595850844078,linear_wrong_tree_correct
77799,1,0,0.39152245133798536,1,0.5583018580450682,False,True,0.10847754866201464,0.058301858045068156,0.1667794067070828,0.1667794067070828,linear_wrong_tree_correct
81010,0,1,0.6637831951706066,0,0.41505592844928463,False,True,0.16378319517060658,0.08494407155071537,-0.24872726672132195,0.24872726672132195,linear_wrong_tree_correct
