feature,importance,feature_group,rank
Diff_TotalGold,0.06587563605845399,aggregate_difference,1
Diff_kills,0.03184261815221156,aggregate_difference,2
Diff_KDA,0.03060862212535565,aggregate_difference,3
Blue_KDA,0.029009646567652352,team_aggregate,4
Diff_deaths,0.02698316502916251,aggregate_difference,5
Diff_MinionsKilled,0.026456908756423463,aggregate_difference,6
Red_KDA,0.025119534818149734,team_aggregate,7
Diff_Kills,0.02274828136650822,aggregate_difference,8
Blue_TotalGold_avg,0.021827003850003922,team_aggregate,9
Diff_DmgDealt,0.021585852383133448,aggregate_difference,10
Blue_TotalGold_sum,0.020526652076751577,team_aggregate,11
Red_TotalGold_avg,0.01705442489298004,team_aggregate,12
Red_TotalGold_sum,0.015662120316436788,team_aggregate,13
Diff_DragonKills,0.014490790213985822,aggregate_difference,14
Diff_assists,0.013168108806973439,aggregate_difference,15
Red_MinionsKilled_avg,0.01144481695409794,team_aggregate,16
Blue_MinionsKilled_sum,0.010956699692384341,team_aggregate,17
RedDragonKills,0.010870013832403231,objective_counts,18
Red_deaths_avg,0.010688329367278152,team_aggregate,19
Red_deaths_sum,0.010515790747341342,team_aggregate,20
Red_MinionsKilled_sum,0.010190548695336787,team_aggregate,21
Blue_DmgDealt_avg,0.00985859879481022,team_aggregate,22
Blue_MinionsKilled_avg,0.009753061996084517,team_aggregate,23
Red_DmgDealt_sum,0.008586192877229448,team_aggregate,24
RedKills,0.008391545992367168,objective_counts,25
Red_DmgDealt_avg,0.00837879781691465,team_aggregate,26
Blue_kills_sum,0.008308321014173817,team_aggregate,27
Blue_DmgDealt_sum,0.00828739272277357,team_aggregate,28
Blue_kills_avg,0.00807865265190211,team_aggregate,29
Red_kills_avg,0.007615447801603593,team_aggregate,30
BlueKills,0.007512789540141525,objective_counts,31
MinionsKilled_P7,0.007457784449461757,player_level_stats,32
BlueDragonKills,0.007456097365749974,objective_counts,33
Red_GoldStd,0.007331472719160727,team_aggregate,34
TotalGold_P6,0.007250018745664055,player_level_stats,35
Red_kills_sum,0.007243316444050093,team_aggregate,36
Blue_deaths_avg,0.007084269221915902,team_aggregate,37
TotalGold_P7,0.006978861902789289,player_level_stats,38
Blue_deaths_sum,0.006876974286179902,team_aggregate,39
MinionsKilled_P9,0.006836287301421648,player_level_stats,40
TotalGold_P3,0.006647842154386717,player_level_stats,41
MinionsKilled_P8,0.0064246610344230225,player_level_stats,42
TotalGold_P9,0.006401385377090145,player_level_stats,43
TotalGold_P2,0.006372951553807263,player_level_stats,44
MinionsKilled_P6,0.006340670535420442,player_level_stats,45
MinionsKilled_P2,0.006337880843288254,player_level_stats,46
Blue_GoldStd,0.006272267634575571,team_aggregate,47
TotalGold_P1,0.00611074590808593,player_level_stats,48
MinionsKilled_P4,0.00604800049414291,player_level_stats,49
TotalGold_P4,0.006027572320448601,player_level_stats,50
TotalGold_P8,0.005957046148438443,player_level_stats,51
Blue_assists_avg,0.005928469608133952,team_aggregate,52
DmgDealt_P9,0.005907455392377781,player_level_stats,53
TotalGold_P10,0.005686082557517365,player_level_stats,54
DmgDealt_P4,0.005512547708628932,player_level_stats,55
MinionsKilled_P3,0.005473606763791994,player_level_stats,56
DmgTaken_P10,0.0052557890823727756,player_level_stats,57
MinionsKilled_P1,0.005168099509827247,player_level_stats,58
DmgTaken_P4,0.0051491273888969475,player_level_stats,59
DmgDealt_P10,0.005122012255475787,player_level_stats,60
DmgDealt_P5,0.005054491989343525,player_level_stats,61
DmgDealt_P3,0.005005113824567714,player_level_stats,62
TotalGold_P5,0.0049958960104333466,player_level_stats,63
DmgDealt_P7,0.00495948348570149,player_level_stats,64
DmgDealt_P6,0.00494207567716805,player_level_stats,65
DmgDealt_P1,0.004898680318765541,player_level_stats,66
DmgDealt_P2,0.004879232466174828,player_level_stats,67
DmgTaken_P9,0.004800130374009705,player_level_stats,68
DmgTaken_P2,0.004794233994486462,player_level_stats,69
MinionsKilled_P5,0.00478565077682619,player_level_stats,70
DmgTaken_P7,0.00478075011864282,player_level_stats,71
DmgTaken_P3,0.004771095354230328,player_level_stats,72
DmgDealt_P8,0.004743707542824016,player_level_stats,73
DmgTaken_P1,0.0046862131618425175,player_level_stats,74
DmgTaken_P8,0.0046727155521972125,player_level_stats,75
DmgTaken_P5,0.004579182063248434,player_level_stats,76
DmgTaken_P6,0.004578619368622973,player_level_stats,77
MinionsKilled_P10,0.004161736717339652,player_level_stats,78
Blue_assists_sum,0.003959819476012103,team_aggregate,79
Red_assists_avg,0.0038006446391829923,team_aggregate,80
Lane_P4_JUNGLE,0.003637032085611744,lane_position,81
Lane_P10_JUNGLE,0.0035529037367971463,lane_position,82
Red_assists_sum,0.0035505516937980645,team_aggregate,83
Diff_RiftHeraldKills,0.003391852487585173,aggregate_difference,84
assists_P5,0.0033737031270688633,player_level_stats,85
Lane_P3_JUNGLE,0.0033046881949701313,lane_position,86
PrimaryKeyStone_P4_0,0.003234179524918042,setup_runes_spells,87
Lane_P5_JUNGLE,0.003210058383116475,lane_position,88
deaths_P2,0.0029237048148851278,player_level_stats,89
assists_P10,0.0029077275207005813,player_level_stats,90
deaths_P6,0.0028678651127525155,player_level_stats,91
Lane_P8_JUNGLE,0.002812924926245713,lane_position,92
PrimaryKeyStone_P6_0,0.0025690432550402645,setup_runes_spells,93
PrimaryKeyStone_P8_0,0.002560913781813886,setup_runes_spells,94
PrimaryKeyStone_P1_0,0.002440680129776134,setup_runes_spells,95
BlueRiftHeraldKills,0.0024304312896540085,objective_counts,96
deaths_P7,0.00238963438831053,player_level_stats,97
kills_P9,0.002227364856181492,player_level_stats,98
kills_P4,0.002184362061917461,player_level_stats,99
QueueType_CHERRY,0.0021703392541661593,queue_type,100
kills_P7,0.0021333646019530365,player_level_stats,101
PrimaryKeyStone_P7_0,0.0020871945478361555,setup_runes_spells,102
kills_P6,0.002052856790512791,player_level_stats,103
deaths_P9,0.0018774804001678777,player_level_stats,104
deaths_P1,0.0018542690310100703,player_level_stats,105
Lane_P9_JUNGLE,0.0018459789330364247,lane_position,106
RedRiftHeraldKills,0.001809087490341815,objective_counts,107
kills_P8,0.001779616375887703,player_level_stats,108
kills_P3,0.0017755645431551895,player_level_stats,109
kills_P2,0.0017335708920443705,player_level_stats,110
deaths_P3,0.0016663747153255778,player_level_stats,111
kills_P1,0.0016565913480961337,player_level_stats,112
Diff_TowerKills,0.0016398973122817555,aggregate_difference,113
deaths_P4,0.001530550371133629,player_level_stats,114
assists_P9,0.0014677476964275456,player_level_stats,115
deaths_P8,0.0014649896237298788,player_level_stats,116
assists_P7,0.001436828738837726,player_level_stats,117
PrimaryKeyStone_P3_0,0.0014223617393218939,setup_runes_spells,118
deaths_P5,0.0014195246975845376,player_level_stats,119
deaths_P10,0.001409800403764865,player_level_stats,120
assists_P2,0.0013774842853675937,player_level_stats,121
assists_P4,0.0013612576788238565,player_level_stats,122
PrimaryKeyStone_P2_0,0.0013040518626268823,setup_runes_spells,123
PrimaryKeyStone_P10_0,0.0012903547001694323,setup_runes_spells,124
Lane_P3_MIDDLE,0.0012803114781359906,lane_position,125
Lane_P4_BOTTOM,0.0012733713659492697,lane_position,126
assists_P8,0.0012599159288903578,player_level_stats,127
kills_P10,0.0012580055722714535,player_level_stats,128
Lane_P9_BOTTOM,0.0011802091212728529,lane_position,129
assists_P3,0.0011371783156752483,player_level_stats,130
Lane_P10_SUPPORT,0.0011261470507137276,lane_position,131
kills_P5,0.0011098556860326774,player_level_stats,132
Lane_P5_SUPPORT,0.0009960257703905948,lane_position,133
PrimaryKeyStone_P5_0,0.00098009928982015,setup_runes_spells,134
assists_P1,0.0009316052320566913,player_level_stats,135
Lane_P8_MIDDLE,0.0009098463615757129,lane_position,136
assists_P6,0.0008764710425636629,player_level_stats,137
Lane_P6_JUNGLE,0.0008572696874832387,lane_position,138
RedTowerKills,0.0008413440268997197,objective_counts,139
SummonerSpell2_P7_2201,0.000777514667713074,setup_runes_spells,140
SummonerSpell1_P10_4,0.0007570825584453349,setup_runes_spells,141
SummonerSpell1_P5_4,0.0007464594218256511,setup_runes_spells,142
SummonerSpell2_P5_4,0.0007458630750153168,setup_runes_spells,143
SummonerSpell1_P9_2202,0.0007207229677243718,setup_runes_spells,144
SummonerSpell2_P10_4,0.000708422518070269,setup_runes_spells,145
SummonerSpell1_P9_4,0.0007065897431780757,setup_runes_spells,146
SummonerSpell2_P7_11,0.0007058686895293675,setup_runes_spells,147
BlueTowerKills,0.0007055839456804009,objective_counts,148
PrimaryKeyStone_P10_8214,0.0007029131343646701,setup_runes_spells,149
SummonerSpell1_P3_4,0.0007023253641092032,setup_runes_spells,150
SummonerSpell1_P7_11,0.0007019661244102979,setup_runes_spells,151
SummonerSpell2_P7_4,0.0006973390595518598,setup_runes_spells,152
PrimaryKeyStone_P9_0,0.0006931877767764538,setup_runes_spells,153
SummonerSpell1_P1_4,0.0006929026319980377,setup_runes_spells,154
SummonerSpell1_P8_4,0.0006923808635742362,setup_runes_spells,155
PrimaryKeyStone_P9_8008,0.0006922903857640996,setup_runes_spells,156
SummonerSpell2_P2_11,0.0006893421816682646,setup_runes_spells,157
SummonerSpell1_P6_4,0.000686221982344399,setup_runes_spells,158
SummonerSpell1_P4_4,0.000677110816874292,setup_runes_spells,159
SummonerSpell1_P7_4,0.0006739361647746452,setup_runes_spells,160
PrimaryKeyStone_P2_8010,0.0006737574816176552,setup_runes_spells,161
SummonerSpell2_P8_4,0.0006679379526445411,setup_runes_spells,162
SummonerSpell1_P2_4,0.0006676702506607662,setup_runes_spells,163
SummonerSpell2_P4_4,0.0006603467102713837,setup_runes_spells,164
SummonerSpell2_P1_4,0.0006593859819786982,setup_runes_spells,165
PrimaryKeyStone_P4_8008,0.0006410314792241677,setup_runes_spells,166
Lane_P6_TOP,0.0006331883691282124,lane_position,167
SummonerSpell2_P9_4,0.000626542510174002,setup_runes_spells,168
SummonerSpell2_P3_4,0.0006248272487677259,setup_runes_spells,169
SummonerSpell2_P6_4,0.0006160702211936483,setup_runes_spells,170
PrimaryKeyStone_P6_8010,0.0006150213565606762,setup_runes_spells,171
PrimaryKeyStone_P1_8010,0.000614451974743499,setup_runes_spells,172
SummonerSpell2_P2_4,0.0006122782329900832,setup_runes_spells,173
SummonerSpell2_P9_21,0.0006101263025934322,setup_runes_spells,174
PrimaryKeyStone_P7_8010,0.0006088271396008326,setup_runes_spells,175
PrimaryKeyStone_P8_8112,0.0006032801324807078,setup_runes_spells,176
SummonerSpell1_P2_11,0.0006013351640711843,setup_runes_spells,177
SummonerSpell1_P9_21,0.0005928681700254043,setup_runes_spells,178
SummonerSpell2_P4_21,0.0005803639833319664,setup_runes_spells,179
PrimaryKeyStone_P5_8214,0.000579552221033647,setup_runes_spells,180
SummonerSpell1_P4_21,0.0005635178821698924,setup_runes_spells,181
PrimaryKeyStone_P3_8112,0.0005398092801944751,setup_runes_spells,182
SummonerSpell2_P1_14,0.0004828342928088464,setup_runes_spells,183
SummonerSpell2_P10_7,0.00047632496903728344,setup_runes_spells,184
Lane_P10_BOTTOM,0.00046186466389645304,lane_position,185
SummonerSpell1_P6_14,0.00045434794887204145,setup_runes_spells,186
SummonerSpell2_P6_14,0.000449719658674844,setup_runes_spells,187
SummonerSpell1_P8_12,0.00044742008925473416,setup_runes_spells,188
SummonerSpell2_P8_12,0.00043780546594776983,setup_runes_spells,189
SummonerSpell2_P8_14,0.0004363152857628274,setup_runes_spells,190
SummonerSpell2_P6_2201,0.00043319194011340654,setup_runes_spells,191
SummonerSpell1_P4_2201,0.0004331038676043295,setup_runes_spells,192
SummonerSpell2_P3_12,0.00041859401365018894,setup_runes_spells,193
SummonerSpell2_P5_7,0.0004143278684540084,setup_runes_spells,194
SummonerSpell1_P1_14,0.00041280173658134666,setup_runes_spells,195
Lane_P1_JUNGLE,0.00040833348393345037,lane_position,196
PrimaryKeyStone_P5_8229,0.0004059024901590938,setup_runes_spells,197
SummonerSpell1_P3_14,0.00040581706714982004,setup_runes_spells,198
SummonerSpell2_P10_14,0.0003994074611557712,setup_runes_spells,199
SummonerSpell1_P3_12,0.00039365787565184455,setup_runes_spells,200
PrimaryKeyStone_P6_8437,0.00039300528322066847,setup_runes_spells,201
SummonerSpell2_P5_14,0.00038562042538085216,setup_runes_spells,202
SummonerSpell2_P3_14,0.0003808817258584839,setup_runes_spells,203
SummonerSpell1_P5_14,0.0003795625650913965,setup_runes_spells,204
SummonerSpell1_P8_14,0.00037815901985340845,setup_runes_spells,205
Lane_P5_BOTTOM,0.0003735653890633512,lane_position,206
Lane_P3_TOP,0.00036582853486155577,lane_position,207
SummonerSpell1_P5_7,0.0003505777415564816,setup_runes_spells,208
Lane_P1_TOP,0.00034571938319500424,lane_position,209
PrimaryKeyStone_P1_8437,0.0003330782536099167,setup_runes_spells,210
SummonerSpell1_P10_14,0.0003283792793031931,setup_runes_spells,211
PrimaryKeyStone_P3_8229,0.00032832399545961973,setup_runes_spells,212
PrimaryKeyStone_P10_8229,0.0003280427321286143,setup_runes_spells,213
SummonerSpell2_P1_12,0.00032243953359678367,setup_runes_spells,214
SummonerSpell1_P10_7,0.0003189753185766309,setup_runes_spells,215
SummonerSpell1_P1_2202,0.0003086051320362558,setup_runes_spells,216
SummonerSpell2_P8_2201,0.00030443906304139154,setup_runes_spells,217
SummonerSpell1_P6_12,0.00030356658439200393,setup_runes_spells,218
Lane_P8_TOP,0.0003010378513335915,lane_position,219
PrimaryKeyStone_P8_8229,0.000291974482903762,setup_runes_spells,220
PrimaryKeyStone_P7_8128,0.00028666723613358285,setup_runes_spells,221
SummonerSpell2_P6_12,0.00027833810396535276,setup_runes_spells,222
Lane_P2_JUNGLE,0.0002765415739956687,lane_position,223
SummonerSpell2_P5_2202,0.0002697345684562753,setup_runes_spells,224
SummonerSpell1_P1_12,0.0002616413914474273,setup_runes_spells,225
PrimaryKeyStone_P9_8005,0.0002590984875383717,setup_runes_spells,226
PrimaryKeyStone_P4_8005,0.0002580589707763111,setup_runes_spells,227
BlueChamp_81,0.0002574615113959507,champion_composition,228
SummonerSpell1_P5_2201,0.00024906349461026686,setup_runes_spells,229
PrimaryKeyStone_P9_8021,0.0002449555567489567,setup_runes_spells,230
PrimaryKeyStone_P4_8021,0.00023865553644416166,setup_runes_spells,231
SummonerSpell2_P10_2201,0.00023787601995826796,setup_runes_spells,232
BlueChamp_202,0.0002320984660638755,champion_composition,233
RedChamp_51,0.00023019762056046629,champion_composition,234
SummonerSpell1_P3_2201,0.00022861825884662885,setup_runes_spells,235
PrimaryKeyStone_P5_8439,0.0002260203249065963,setup_runes_spells,236
SummonerSpell2_P1_2201,0.0002169348812600124,setup_runes_spells,237
PrimaryKeyStone_P2_8128,0.00021477855050569682,setup_runes_spells,238
PrimaryKeyStone_P7_8005,0.0002113933448543658,setup_runes_spells,239
SummonerSpell1_P5_2202,0.00020997791767355103,setup_runes_spells,240
SummonerSpell1_P8_2202,0.0002058286264668066,setup_runes_spells,241
