feature,coefficient,importance,direction,importance_rank,model,feature_group,Experiment,raw_value,importance_type
TotalGold_P8,-0.4993444845744926,0.4993444845744926,Red-favored,1,LogisticRegression,raw_encoded_features,03 Baseline LogisticRegression,,
TotalGold_P1,0.458955118027505,0.458955118027505,Blue-favored,2,LogisticRegression,raw_encoded_features,03 Baseline LogisticRegression,,
TotalGold_P4,0.4075640078242349,0.4075640078242349,Blue-favored,3,LogisticRegression,raw_encoded_features,03 Baseline LogisticRegression,,
TotalGold_P6,-0.3513567344161462,0.3513567344161462,Red-favored,4,LogisticRegression,raw_encoded_features,03 Baseline LogisticRegression,,
TotalGold_P3,0.3398590432772448,0.3398590432772448,Blue-favored,5,LogisticRegression,raw_encoded_features,03 Baseline LogisticRegression,,
TotalGold_P9,-0.314973044966795,0.314973044966795,Red-favored,6,LogisticRegression,raw_encoded_features,03 Baseline LogisticRegression,,
MinionsKilled_P7,-0.2415139764506394,0.2415139764506394,Red-favored,7,LogisticRegression,raw_encoded_features,03 Baseline LogisticRegression,,
TotalGold_P7,-0.2259059583668028,0.2259059583668028,Red-favored,8,LogisticRegression,raw_encoded_features,03 Baseline LogisticRegression,,
TotalGold_P5,0.2212022269874597,0.2212022269874597,Blue-favored,9,LogisticRegression,raw_encoded_features,03 Baseline LogisticRegression,,
TotalGold_P10,-0.2205837343508414,0.2205837343508414,Red-favored,10,LogisticRegression,raw_encoded_features,03 Baseline LogisticRegression,,
TotalGold_P2,0.2146775781219454,0.2146775781219454,Blue-favored,11,LogisticRegression,raw_encoded_features,03 Baseline LogisticRegression,,
MinionsKilled_P2,0.1963355539642501,0.1963355539642501,Blue-favored,12,LogisticRegression,raw_encoded_features,03 Baseline LogisticRegression,,
RedKills,,1.7015851313344406,Blue-favored,1,LogisticRegression,raw_objective_counts,04 Aggregate-only LogisticRegression,1.7015851313344406,absolute_logistic_coefficient
Diff_Kills,,0.9586601918019964,Red-favored,2,LogisticRegression,difference_features,04 Aggregate-only LogisticRegression,-0.9586601918019964,absolute_logistic_coefficient
BlueKills,,0.9281440572690272,Blue-favored,3,LogisticRegression,raw_objective_counts,04 Aggregate-only LogisticRegression,0.9281440572690272,absolute_logistic_coefficient
Red_kills_sum,,0.7881949839997563,Red-favored,4,LogisticRegression,team_aggregate_features,04 Aggregate-only LogisticRegression,-0.7881949839997563,absolute_logistic_coefficient
Red_kills_avg,,0.788194983999756,Red-favored,5,LogisticRegression,team_aggregate_features,04 Aggregate-only LogisticRegression,-0.788194983999756,absolute_logistic_coefficient
Diff_kills,,0.5375665356347425,Blue-favored,6,LogisticRegression,difference_features,04 Aggregate-only LogisticRegression,0.5375665356347425,absolute_logistic_coefficient
Diff_TotalGold,,0.4973773138609318,Blue-favored,7,LogisticRegression,difference_features,04 Aggregate-only LogisticRegression,0.4973773138609318,absolute_logistic_coefficient
Diff_MinionsKilled,,0.1934744290629948,Blue-favored,8,LogisticRegression,difference_features,04 Aggregate-only LogisticRegression,0.1934744290629948,absolute_logistic_coefficient
Blue_kills_avg,,0.1760298142193188,Red-favored,9,LogisticRegression,team_aggregate_features,04 Aggregate-only LogisticRegression,-0.1760298142193188,absolute_logistic_coefficient
Blue_kills_sum,,0.1760298142192908,Red-favored,10,LogisticRegression,team_aggregate_features,04 Aggregate-only LogisticRegression,-0.1760298142192908,absolute_logistic_coefficient
Red_TotalGold_avg,,0.1141558880634851,Red-favored,11,LogisticRegression,team_aggregate_features,04 Aggregate-only LogisticRegression,-0.1141558880634851,absolute_logistic_coefficient
Red_TotalGold_sum,,0.1141558880634803,Red-favored,12,LogisticRegression,team_aggregate_features,04 Aggregate-only LogisticRegression,-0.1141558880634803,absolute_logistic_coefficient
Diff_TotalGold,,19.639549532280853,higher importance,1,CatBoost,difference_features,04 Aggregate-only Best (CatBoost),19.639549532280853,tree_feature_importance
Red_MinionsKilled_sum,,8.738996871940701,higher importance,2,CatBoost,team_aggregate_features,04 Aggregate-only Best (CatBoost),8.738996871940701,tree_feature_importance
Red_MinionsKilled_avg,,8.480657607995674,higher importance,3,CatBoost,team_aggregate_features,04 Aggregate-only Best (CatBoost),8.480657607995674,tree_feature_importance
Blue_MinionsKilled_avg,,6.975754469854214,higher importance,4,CatBoost,team_aggregate_features,04 Aggregate-only Best (CatBoost),6.975754469854214,tree_feature_importance
Blue_MinionsKilled_sum,,5.84750496906761,higher importance,5,CatBoost,team_aggregate_features,04 Aggregate-only Best (CatBoost),5.84750496906761,tree_feature_importance
Diff_MinionsKilled,,5.758918585162668,higher importance,6,CatBoost,difference_features,04 Aggregate-only Best (CatBoost),5.758918585162668,tree_feature_importance
Red_GoldStd,,3.0602380944528464,higher importance,7,CatBoost,team_aggregate_features,04 Aggregate-only Best (CatBoost),3.0602380944528464,tree_feature_importance
Diff_DragonKills,,2.987939184587289,higher importance,8,CatBoost,difference_features,04 Aggregate-only Best (CatBoost),2.987939184587289,tree_feature_importance
RedDragonKills,,2.919703099482323,higher importance,9,CatBoost,raw_objective_counts,04 Aggregate-only Best (CatBoost),2.919703099482323,tree_feature_importance
Diff_Kills,,2.8179652943121742,higher importance,10,CatBoost,difference_features,04 Aggregate-only Best (CatBoost),2.8179652943121742,tree_feature_importance
Blue_GoldStd,,2.778333692791768,higher importance,11,CatBoost,team_aggregate_features,04 Aggregate-only Best (CatBoost),2.778333692791768,tree_feature_importance
RedKills,,1.7608041369066254,higher importance,12,CatBoost,raw_objective_counts,04 Aggregate-only Best (CatBoost),1.7608041369066254,tree_feature_importance
Diff_TotalGold,,0.3723068508772621,Blue-favored,1,LogisticRegression,aggregate_difference,05 All-features LogisticRegression,0.3723068508772621,absolute_logistic_coefficient
Diff_DmgDealt,,0.2170997346531365,Blue-favored,2,LogisticRegression,aggregate_difference,05 All-features LogisticRegression,0.2170997346531365,absolute_logistic_coefficient
Diff_MinionsKilled,,0.1997941817589034,Blue-favored,3,LogisticRegression,aggregate_difference,05 All-features LogisticRegression,0.1997941817589034,absolute_logistic_coefficient
TotalGold_P1,,0.1895838636807853,Blue-favored,4,LogisticRegression,player_level_stats,05 All-features LogisticRegression,0.1895838636807853,absolute_logistic_coefficient
TotalGold_P8,,0.1588517832357852,Red-favored,5,LogisticRegression,player_level_stats,05 All-features LogisticRegression,-0.1588517832357852,absolute_logistic_coefficient
MinionsKilled_P7,,0.1389894676766874,Red-favored,6,LogisticRegression,player_level_stats,05 All-features LogisticRegression,-0.1389894676766874,absolute_logistic_coefficient
MinionsKilled_P2,,0.1367282460813653,Blue-favored,7,LogisticRegression,player_level_stats,05 All-features LogisticRegression,0.1367282460813653,absolute_logistic_coefficient
TotalGold_P4,,0.1247446698827798,Blue-favored,8,LogisticRegression,player_level_stats,05 All-features LogisticRegression,0.1247446698827798,absolute_logistic_coefficient
BlueChamp_81,,0.1212748625590444,Red-favored,9,LogisticRegression,champion_composition,05 All-features LogisticRegression,-0.1212748625590444,absolute_logistic_coefficient
RedChamp_81,,0.1132209699601813,Blue-favored,10,LogisticRegression,champion_composition,05 All-features LogisticRegression,0.1132209699601813,absolute_logistic_coefficient
