Feature_Set,Model,feature,coefficient,importance,direction
LoL Core Signals,LogisticRegression,RedKills,1.844587564161109,1.844587564161109,Blue-favored
LoL Core Signals,LogisticRegression,BlueKills,1.0255237229023768,1.0255237229023768,Blue-favored
LoL Core Signals,LogisticRegression,Diff_TeamKills,-1.0235514133080164,1.0235514133080164,Red-favored
LoL Core Signals,LogisticRegression,Red_kills_sum,-0.8507748530270031,0.8507748530270031,Red-favored
LoL Core Signals,LogisticRegression,Red_kills_avg,-0.8507748530269974,0.8507748530269974,Red-favored
LoL Core Signals,LogisticRegression,Diff_kills,0.5728737118997054,0.5728737118997054,Blue-favored
LoL Core Signals,LogisticRegression,Diff_TotalGold,0.5241365568161581,0.5241365568161581,Blue-favored
LoL Core Signals,LogisticRegression,Blue_kills_sum,-0.1980248745770708,0.1980248745770708,Red-favored
LoL Core Signals,LogisticRegression,Blue_kills_avg,-0.19802487457705154,0.19802487457705154,Red-favored
LoL Core Signals,LogisticRegression,Diff_MinionsKilled,0.19509159617116448,0.19509159617116448,Blue-favored
LoL Core Signals,LogisticRegression,Red_TotalGold_avg,-0.12764383559964398,0.12764383559964398,Red-favored
LoL Core Signals,LogisticRegression,Red_TotalGold_sum,-0.12764383559964193,0.12764383559964193,Red-favored
LoL Core Signals,LogisticRegression,BlueDragonKills,0.10812134173042733,0.10812134173042733,Blue-favored
LoL Core Signals,LogisticRegression,Blue_TotalGold_sum,0.10064003687799604,0.10064003687799604,Blue-favored
LoL Core Signals,LogisticRegression,Blue_TotalGold_avg,0.1006400368779931,0.1006400368779931,Blue-favored
LoL Core Signals,LogisticRegression,Diff_DragonKills,0.0971895203855191,0.0971895203855191,Blue-favored
LoL Core Signals,LogisticRegression,Red_deaths_avg,-0.08338186128235164,0.08338186128235164,Red-favored
LoL Core Signals,LogisticRegression,Red_deaths_sum,-0.0833818612823312,0.0833818612823312,Red-favored
LoL Core Signals,LogisticRegression,Blue_Lead_Signal_Count,-0.07617849641033363,0.07617849641033363,Red-favored
LoL Core Signals,LogisticRegression,Blue_deaths_sum,-0.0739831541305161,0.0739831541305161,Red-favored
LoL Core Signals,LogisticRegression,Blue_deaths_avg,-0.07398315413050689,0.07398315413050689,Red-favored
LoL Core Signals,LogisticRegression,RedDragonKills,-0.07264023959668231,0.07264023959668231,Red-favored
LoL Core Signals,LogisticRegression,Red_MinionsKilled_avg,-0.06411498173720605,0.06411498173720605,Red-favored
LoL Core Signals,LogisticRegression,Red_MinionsKilled_sum,-0.06411498173719485,0.06411498173719485,Red-favored
LoL Core Signals,LogisticRegression,Blue_MinionsKilled_avg,0.060215969550811696,0.060215969550811696,Blue-favored
LoL Core Signals,LogisticRegression,Blue_MinionsKilled_sum,0.060215969550808206,0.060215969550808206,Blue-favored
LoL Core Signals,LogisticRegression,Diff_GoldStd,0.057132662199331816,0.057132662199331816,Blue-favored
LoL Core Signals,LogisticRegression,Red_Lead_Signal_Count,-0.054676673503153805,0.054676673503153805,Red-favored
LoL Core Signals,LogisticRegression,Diff_DmgDealt,0.05458900225393585,0.05458900225393585,Blue-favored
LoL Core Signals,LogisticRegression,Objective_Control_Index,0.047232308490227096,0.047232308490227096,Blue-favored
LoL Core Signals,LogisticRegression,Red_GoldStd,-0.04433896504860538,0.04433896504860538,Red-favored
LoL Core Signals,LogisticRegression,Diff_TowerKills,-0.042927017926931835,0.042927017926931835,Red-favored
