Model,Threshold,Accuracy,F1,Precision,Recall
CatBoost,0.05,0.5253829321663019,0.6781103141231759,0.5130623549666892,0.999708284714119
CatBoost,0.06,0.5300510576221736,0.680232269591543,0.5155344918378094,0.9995624270711785
CatBoost,0.07,0.5347921225382932,0.6823072325164375,0.5180786686838124,0.9989789964994166
CatBoost,0.08,0.5391684901531729,0.6841,0.5204656116859403,0.9978121353558926
CatBoost,0.09,0.5435448577680525,0.685843373493976,0.522887323943662,0.9963535589264878
CatBoost,0.09999999999999999,0.549525893508388,0.6885212830340932,0.5262102991057662,0.9956242707117853
CatBoost,0.10999999999999999,0.5541210795040117,0.6902457562705853,0.5288454072521158,0.9934364060676779
CatBoost,0.12,0.5603938730853392,0.6931106471816284,0.5324258781193772,0.9927071178529755
CatBoost,0.13,0.5675419401896425,0.6962446846662227,0.5366027007818053,0.9911026837806302
CatBoost,0.13999999999999999,0.5731582786287381,0.6986611740473738,0.5399554282075772,0.9894982497082847
CatBoost,0.14999999999999997,0.5800145878920496,0.7017198508081227,0.544103470437018,0.9878938156359394
CatBoost,0.15999999999999998,0.587089715536105,0.704648614806699,0.5485338315327756,0.9849766627771295
CatBoost,0.16999999999999998,0.5929978118161926,0.7071173630065085,0.5523122335191866,0.9824970828471412
CatBoost,0.18,0.5986141502552881,0.7091283894497595,0.5560805769709027,0.9784130688448075
CatBoost,0.19,0.6051787016776076,0.7118752328737957,0.5604727181292432,0.9753500583430572
CatBoost,0.19999999999999996,0.6107221006564552,0.7140943911715862,0.5643044619422573,0.9721411901983664
CatBoost,0.20999999999999996,0.6167031363967906,0.7163599071625195,0.5685888098706194,0.9679113185530922
CatBoost,0.21999999999999997,0.6235594456601021,0.7191903803253713,0.5735485550637854,0.963973162193699
CatBoost,0.22999999999999998,0.6310722100656455,0.7225148123765636,0.5790538163911362,0.9604725787631272
CatBoost,0.24,0.6357403355215171,0.7241493592576226,0.5827702702702703,0.9560968494749125
CatBoost,0.24999999999999994,0.6407731582786287,0.7255197012762638,0.5870839722197168,0.94938739789965
CatBoost,0.25999999999999995,0.6452224653537564,0.7265572295929841,0.5911086717892426,0.9425320886814469
